entity,tem,relation
草莓青枯病,22℃,温度为
草莓畸形果,0℃,温度
柑橘始叶螨,18℃,气温
葡萄拟茎点霉腐烂病,25℃,气温
葡萄霜霉病,20℃,温度为
猕猴桃溃疡病,0℃,气温
山楂花腐病,25℃,气温
香菇褐腐病,20℃,气温
可变粉孢霉,20℃,温度为
胡桃肉状菌,30℃,温度是
西瓜白绢病,30℃,适温
小地老虎,0℃,温度
甜瓜炭疽病,23℃,温度
豌豆彩潜蝇,22℃,温度为
豇豆荚螟,28℃,最适温为
扁豆锈病,20℃,气温
扁豆白绢病,30℃,适温
三点盲蝽,25℃,温度为
亚洲玉米螟,25℃,温度
蘑菇褐腐病,25℃,温度为
菜豆灰霉病,20℃,气温
菜豆锈病,20℃,气温
菜豆炭疽病,17℃,温度
菜豆菌核病,15℃,温度为
毛豆褐斑病,36℃,温度为
毛豆赤霉病,30℃,温度为
冬瓜病毒病,20℃,温度
瓠瓜霜霉病,27℃,温度为
辣椒白绢病,30℃,适温
辣椒病毒病,33℃,温度
桃蚜,24℃,最适温为
茄子炭疽病,24℃,温度为
茄子白绢病,30℃,适温
黄瓜白绢病,30℃,适温
黄瓜病毒病,20℃,温度
西葫芦黑星病,20℃,气温
茴香立枯病,24℃,温度
茼蒿立枯病,24℃,适温
番茄晚疫病,24℃,气温
番茄叶霉病,22℃,气温
番茄斑枯病,25℃,温度
番茄细菌性斑疹病,25℃,温度
番茄炭疽病,24℃,最适温为
番茄圆纹病,21℃,气温
番茄细菌性褐斑病,25℃,温度
菠菜株腐病,24℃,适温
桃蚜,24℃,温度为
芹菜灰霉病,20℃,气温
芹菜菌核病,15℃,温度为
莴笋病毒病,18℃,均温
生菜病毒病,18℃,均温
苋菜灰霉病,20℃,气温
葡萄轮纹病,25℃,温度
大猿叶甲,26℃,气温
甘蓝灰霉病,20℃,气温
芥蓝霜霉病,16℃,气温
姜瘟病,20℃,气温
姜腐烂病,20℃,气温
葱霜霉病,15℃,温度是
桑白绢病,20℃,温度
萝卜白锈病,10℃,温度
茶芽枯病,15℃,气温
茶圆赤星病,20℃,气温
绿盲蝽,15℃,气温
茶角盲蝽,21℃,温度
烟草蛀茎蛾,5℃,气温
灰地种蝇,17℃,均温
油菜立枯病,25℃,温度为
油菜黑腐病,15℃,气温
芝麻茎点枯病,25℃,气温
中黑盲蝽,9℃,温度
大豆花叶病毒病,30℃,气温
大豆赤霉病,30℃,适温
甘薯根腐病,27℃,温度
大麦网斑病,20℃,气温
麦二叉蚜,5℃,温度
黄麻枯腐病,30℃,气温
青花菜白锈病,10℃,气温
青花菜霜霉病,16℃,气温
青花菜灰霉病,20℃,气温
玉米眼斑病,24℃,适温
玉米细菌性茎腐病,34℃,均温
稻纵卷叶螟,35℃,气温
直纹稻弄蝶,32℃,气温
稻秆潜蝇,35℃,均温
褐飞虱,25℃,气温
稻蓟马,28℃,气温
小麦秆黑粉病,20℃,温度
小麦炭疽病,25℃,气温
小麦叶锈病,10℃,温度
